player_name,pitch_type,game_year,release_speed,effective_speed,release_extension,description,release_spin_rate,estimated_woba_using_speedangle,woba_value,woba_denom
"Giolito, Lucas",FF,2020,94.3,94.9,6.9,hit_into_play,2148,0.288,0.9,1
"Lyles, Jordan",FF,2020,90.3,91.5,7,foul,2211,,,
"Cole, Gerrit",FF,2020,98.7,100,6.8,hit_into_play,2421,0.12,0,1
"Cole, Gerrit",FF,2020,97.1,97.5,6.6,swinging_strike,2417,,,
"Lyles, Jordan",FF,2020,90.1,92.6,7.8,swinging_strike,2208,,,
"Castillo, Luis",SI,2020,98.5,96.8,5.3,foul,2081,,,
"Giolito, Lucas",FF,2020,95.3,96.1,6.9,hit_into_play,2307,0.27,0,1
"Nola, Aaron",SI,2020,92.2,93.1,6.9,hit_into_play,2066,0.504,0,1
"Fedde, Erick",SI,2020,92.4,93.1,6.8,hit_into_play,1856,0.889,0,1
"Bieber, Shane",FC,2020,89.8,90.6,6.5,hit_into_play,2443,0,0,1
"Giolito, Lucas",FF,2020,95.0,96.1,7,foul,2280,,,
"Lyles, Jordan",FF,2020,90.8,89.7,5.4,foul,2257,,,
"Bieber, Shane",FF,2020,93.9,94.4,6.8,foul,2169,,,
"Cole, Gerrit",FF,2020,97.6,98.4,6.8,swinging_strike,2499,,0,1
"Castillo, Luis",FF,2020,97.9,96.1,5.4,foul,2353,,,
"Fedde, Erick",SI,2020,92.4,93.2,6.7,foul,1874,,,
"deGrom, Jacob",FF,2020,98.5,99.1,6.7,hit_into_play,2543,0,0,1
"Cole, Gerrit",FF,2020,96.7,96.7,6.5,foul,2540,,,
"Giolito, Lucas",FF,2020,94.8,95.4,6.9,foul_tip,2311,,,
"Cole, Gerrit",FF,2020,97.2,97.5,6.6,hit_into_play,2547,0,0,1
"Fedde, Erick",FF,2020,93.6,94.9,6.8,hit_into_play,1750,0.096,0,1
"Giolito, Lucas",FF,2020,94.4,94.7,6.9,foul,2415,,,
"deGrom, Jacob",FF,2020,98.7,99.8,6.9,foul,2565,,,
"Canning, Griffin",FF,2020,91.0,90.9,6,swinging_strike,2454,,0,1
"Fedde, Erick",FC,2020,88.5,89.5,6.6,foul,2087,,,
"Castillo, Luis",FF,2020,98.1,96.5,5.3,foul,2415,,,
"deGrom, Jacob",FF,2020,98.8,99.5,6.8,foul,2483,,,
"Snell, Blake",FF,2020,93.9,95.3,7.1,foul,2372,,,
"Castillo, Luis",FF,2020,97.7,95.8,5.3,foul,2336,,,
"Cole, Gerrit",FF,2020,97.2,97.3,6.5,foul,2403,,,
"deGrom, Jacob",FF,2020,99.0,100,6.9,hit_into_play,2473,0,0,1
"Lester, Jon",FF,2020,90.3,90.6,6.6,hit_into_play,2325,0.078,0,1
"Fedde, Erick",FC,2020,88.4,88.9,6.6,swinging_strike,2110,,,
"Brault, Steven",FF,2020,91.9,92.4,6.7,hit_into_play,2154,0.256,0,1
"Castillo, Luis",SI,2020,96.2,93.7,5.3,hit_into_play,2242,0.006,0,1
"deGrom, Jacob",FF,2020,98.8,100,6.8,foul,2527,,,
"Cole, Gerrit",FF,2020,97.0,97.2,6.5,swinging_strike,2404,,,
"Woodruff, Brandon",FF,2020,97.3,98,6.7,swinging_strike,2246,,0,1
"deGrom, Jacob",FF,2020,98.5,99.1,6.7,foul,2525,,,
"Snell, Blake",FF,2020,95.1,96.7,7.3,hit_into_play,2413,0.879,0.9,1
"Kikuchi, Yusei",FC,2020,93.3,93.9,6.8,swinging_strike,2310,,0,1
"Brault, Steven",FF,2020,90.6,91.2,6.6,foul,2181,,,
"Nola, Aaron",SI,2020,90.7,91.4,6.8,foul,2058,,,
"Fedde, Erick",FC,2020,88.8,89.2,6.7,swinging_strike,2017,,0,1
"Castillo, Luis",SI,2020,96.9,94.5,5.2,hit_into_play,2116,0.286,0,1
"Wainwright, Adam",SI,2020,88.7,89.1,6.8,hit_into_play,2182,0.12,0.9,1
"Cole, Gerrit",FF,2020,97.2,97.3,6.4,foul,2409,,,
"Bieber, Shane",FF,2020,94.3,94.5,6.7,hit_into_play,2400,0.018,0,1
"Wainwright, Adam",FC,2020,84.8,85.5,6.6,swinging_strike,2324,,,
"Lyles, Jordan",FF,2020,91.5,91.6,6.3,hit_into_play,2164,0.017,0,1
"Kikuchi, Yusei",FF,2020,97.0,97.4,6.7,swinging_strike,2092,,,
"Castillo, Luis",SI,2020,97.8,95.5,5.4,hit_into_play,2082,0.165,0,1
"Bieber, Shane",FF,2020,94.7,95.5,6.7,swinging_strike,2490,,,
"deGrom, Jacob",FF,2020,96.5,97.5,6.8,hit_into_play,2496,0.009,0,1
"Fedde, Erick",FC,2020,88.6,89.2,6.5,swinging_strike,2006,,,
"Bieber, Shane",FC,2020,89.8,90.1,6.4,hit_into_play,2432,0,0,1
"Woodruff, Brandon",FF,2020,96.3,96.7,6.6,swinging_strike,2343,,,
"Tanaka, Masahiro",FF,2020,92.9,92.8,6.1,foul,2225,,,
"Fiers, Mike",FF,2020,86.2,85,5.3,hit_into_play,2076,0.963,2,1
"Cole, Gerrit",FF,2020,95.9,96.4,6.6,hit_into_play,2412,0,0,1
"Woodruff, Brandon",FF,2020,96.4,97.1,6.7,hit_into_play,2309,0.173,0,1
"Kikuchi, Yusei",FC,2020,93.1,94,6.9,swinging_strike,2261,,0,1
"Maeda, Kenta",SI,2020,90.2,89.8,6.1,hit_into_play,2231,0.198,0,1
"Lester, Jon",SI,2020,88.4,88.9,6.5,foul,1966,,,
"Fedde, Erick",SI,2020,94.1,94.8,6.6,hit_into_play,2003,0.77,0.9,1
"Canning, Griffin",FF,2020,91.4,91,6,hit_into_play,2434,0.879,0.9,1
"Kikuchi, Yusei",FC,2020,93.1,93.9,6.7,foul,2207,,,
"Castillo, Luis",SI,2020,96.3,94,5.2,hit_into_play,2123,0.385,0,1
"Lester, Jon",SI,2020,87.8,88.6,6.8,swinging_strike,2013,,0,1
"Fedde, Erick",SI,2020,92.8,93.8,6.8,hit_into_play,1756,0.501,0.9,1
"Márquez, Germán",FF,2020,93.3,92.3,5.4,hit_into_play,2066,0.18,0,1
"Snell, Blake",FF,2020,94.3,95.6,7.2,foul,2454,,,
"Nola, Aaron",FF,2020,93.4,94.2,6.9,foul,2324,,,
"Kikuchi, Yusei",FC,2020,92.3,93,6.8,foul,2173,,,
"Wainwright, Adam",FC,2020,85.2,85.7,6.6,hit_into_play,2382,0.299,0.9,1
"Woodruff, Brandon",FF,2020,95.8,96.7,6.8,hit_into_play,2309,0,0,1
"deGrom, Jacob",FF,2020,98.8,99.5,6.9,swinging_strike,2603,,0,1
"Bieber, Shane",FF,2020,94.1,94.3,6.6,foul,2303,,,
"Woodruff, Brandon",FF,2020,96.1,96.7,6.7,foul,2338,,,
"Cole, Gerrit",FF,2020,99.8,100.2,6.7,hit_into_play,2526,0.213,0,1
"Fedde, Erick",SI,2020,92.6,93.5,6.7,foul,1829,,,
"Tanaka, Masahiro",FF,2020,92.9,92.3,6.1,hit_into_play,2265,0,0,1
"Márquez, Germán",FF,2020,95.0,93.6,5.3,foul,2141,,,
"Kikuchi, Yusei",FC,2020,91.1,91.5,6.8,foul,2204,,,
"Brault, Steven",FF,2020,90.2,91,6.7,hit_into_play,2064,0.009,0,1
"Woodruff, Brandon",SI,2020,94.4,95,6.7,foul,2258,,,
"Cole, Gerrit",FF,2020,98.3,98.5,6.5,swinging_strike,2434,,,
"Giolito, Lucas",FF,2020,95.6,96.3,6.9,hit_into_play,2448,0.222,0.9,1
"Fedde, Erick",FF,2020,92.6,93.8,6.8,hit_into_play,1876,0,0,1
"Bieber, Shane",FF,2020,94.3,94.6,6.6,swinging_strike,2340,,,
"deGrom, Jacob",FF,2020,97.6,98.3,6.7,swinging_strike,2488,,,
"Bubic, Kris",FF,2020,93.0,93.4,6.8,hit_into_play,2248,0.916,0.9,1
"Brault, Steven",FF,2020,89.6,90.2,6.7,foul,2183,,,
"Giolito, Lucas",FF,2020,95.4,96,6.9,foul,2476,,,
"Snell, Blake",FF,2020,95.3,96.6,7.3,hit_into_play,2440,0.525,0,1
"Wainwright, Adam",FF,2020,89.6,90.5,6.8,hit_into_play,2260,0.228,0,1
"Fedde, Erick",SI,2020,93.8,94.9,6.9,foul,1882,,,
"Nola, Aaron",FF,2020,93.5,94.4,7.1,foul,2182,,,
"Woodruff, Brandon",SI,2020,93.8,94.6,6.7,hit_into_play,2150,0.306,0,1
"Márquez, Germán",FF,2020,93.4,92.5,5.4,foul,2099,,,
"Brault, Steven",FF,2020,90.5,91.4,6.7,foul,2027,,,
"Kikuchi, Yusei",FC,2020,92.4,92.8,6.7,hit_into_play,2121,0.15,0,1
"Snell, Blake",FF,2020,94.8,96.3,7.3,swinging_strike,2345,,,
"Tanaka, Masahiro",FF,2020,90.9,90.5,6.2,swinging_strike,2224,,,
"Bieber, Shane",FF,2020,95.1,94.7,6.7,hit_into_play,2474,0,0,1
"Fiers, Mike",FF,2020,86.4,85.4,5.5,hit_into_play,2006,0.114,0,1
"Castillo, Luis",SI,2020,96.5,94.2,5.4,hit_into_play,2118,0.078,0,1
"Kikuchi, Yusei",FC,2020,92.0,92.6,6.7,foul,2059,,,
"Fiers, Mike",FF,2020,87.8,87,5.5,hit_into_play,2235,0.502,0,1
"Márquez, Germán",FF,2020,92.3,91.4,5.3,foul,2029,,,
"Bubic, Kris",FF,2020,90.7,91.3,6.8,hit_into_play,2169,0.475,0,1
"Snell, Blake",FF,2020,96.2,97.7,7.2,swinging_strike,2445,,0,1
"Lyles, Jordan",FF,2020,90.2,89.9,6.2,foul,2188,,,
"Márquez, Germán",FF,2020,95.1,94.1,5.3,hit_into_play,2159,0.252,0,1
"Brault, Steven",SI,2020,89.7,90.9,6.9,foul,1818,,,
"Giolito, Lucas",FF,2020,95.1,95.8,6.8,swinging_strike,2323,,,
"Cole, Gerrit",FF,2020,97.8,98.1,6.7,foul,2442,,,
"Kikuchi, Yusei",FF,2020,96.3,96.6,6.8,foul,2150,,,
"Fedde, Erick",SI,2020,93.1,93.8,6.9,foul,1819,,,
"Bubic, Kris",FF,2020,91.4,91.7,6.6,swinging_strike,2141,,0,1
"Young, Alex",FC,2020,84.7,83.8,5.6,foul,2416,,,
"Tanaka, Masahiro",SI,2020,93.0,92.8,6.4,hit_into_play,2184,0.42,0,1
"Lester, Jon",FF,2020,90.4,91,6.7,foul,2227,,,
"Maeda, Kenta",SI,2020,90.6,89.9,6,foul,2176,,,
"Lester, Jon",FF,2020,90.6,91.1,6.7,swinging_strike,2190,,,
"deGrom, Jacob",FF,2020,98.7,100,7,hit_into_play,2543,0.665,0,1
"Wainwright, Adam",SI,2020,90.6,90.9,6.6,hit_into_play,2241,0.63,0,1
"Bubic, Kris",FF,2020,90.4,91,6.8,swinging_strike,2084,,,
"Mize, Casey",SI,2020,94.9,96.7,7.1,hit_into_play,1985,0.386,0,1
"Fedde, Erick",FF,2020,92.7,93.3,6.7,foul,1845,,,
"Snell, Blake",FF,2020,94.5,95.8,7.3,foul,2418,,,
"Kikuchi, Yusei",FC,2020,92.2,93,6.8,hit_into_play,2055,0.653,0,1
"Giolito, Lucas",FF,2020,94.6,94.9,6.8,hit_into_play,2419,0.162,0,1
"Young, Alex",FC,2020,84.8,83.7,5.5,foul,2366,,,
"Brault, Steven",FF,2020,91.2,92.4,6.9,hit_into_play,2132,0.361,0,1
"Lyles, Jordan",FF,2020,91.7,92.1,6.7,hit_into_play,2220,0.413,2,1
"Lyles, Jordan",FF,2020,90.8,91.8,6.8,hit_into_play,2112,0,0,1
"Brault, Steven",FF,2020,91.1,91.8,6.8,foul,2080,,,
"Mize, Casey",FC,2020,88.3,90.2,6.9,foul,2313,,,
"Maeda, Kenta",SI,2020,89.2,88,5.9,foul,2335,,,
"Fedde, Erick",SI,2020,94.1,94.9,6.8,foul,1933,,,
"Lester, Jon",FC,2020,88.4,89,6.5,swinging_strike,2407,,0,1
"Nola, Aaron",FF,2020,92.9,94.2,7.1,hit_into_play,2212,0.948,0.9,1
"deGrom, Jacob",FF,2020,97.5,98.6,6.8,swinging_strike,2472,,,
"Fiers, Mike",FF,2020,88.6,87.1,5.4,foul,2267,,,
"Wainwright, Adam",SI,2020,89.5,90,6.6,swinging_strike,2170,,,
"Lyles, Jordan",FF,2020,90.3,91.5,6.9,foul,2076,,,
"Lester, Jon",FC,2020,89.3,89.9,6.7,foul_tip,2385,,,
"Woodruff, Brandon",FF,2020,96.2,96.9,6.6,hit_into_play,2279,0.246,0.9,1
"Bubic, Kris",FF,2020,88.4,89,6.7,foul,1971,,,
"Mize, Casey",FF,2020,93.9,94.4,6.7,foul,2235,,,
"Márquez, Germán",FF,2020,94.9,94,5.3,foul_tip,2184,,,
"deGrom, Jacob",FF,2020,97.7,98.2,6.6,foul,2563,,,
"Fedde, Erick",SI,2020,92.9,94,6.7,swinging_strike,1921,,,
"Young, Alex",FF,2020,91.7,90.6,5.9,hit_into_play,2271,0,0,1
"Castillo, Luis",FF,2020,97.6,95.5,5.2,swinging_strike,2131,,,
"Maeda, Kenta",SI,2020,90.3,89.4,5.9,swinging_strike,2328,,,
"Brault, Steven",FF,2020,90.7,91.5,6.6,foul,1997,,,
"Woodruff, Brandon",FF,2020,95.8,96.4,6.5,foul,2459,,,
"Bubic, Kris",FF,2020,88.7,89.6,6.8,hit_into_play,2123,0.917,1.25,1
"Young, Alex",FF,2020,91.4,90.4,5.9,swinging_strike,2288,,,
"Wainwright, Adam",SI,2020,89.2,90,6.7,foul,2199,,,
"Snell, Blake",FF,2020,95.0,96.5,7.2,foul,2347,,,
"Giolito, Lucas",FF,2020,93.6,94.4,6.8,foul,2383,,,
"Fiers, Mike",FF,2020,89.0,87.4,5.3,swinging_strike,2320,,,
"Kikuchi, Yusei",FC,2020,90.9,91.9,6.7,hit_into_play,2102,0.015,0,1
"Cole, Gerrit",FF,2020,96.8,97.2,6.6,swinging_strike,2492,,,
"Canning, Griffin",FC,2020,88.5,88.2,5.7,swinging_strike,2687,,,
"Lester, Jon",FC,2020,88.2,88.4,6.5,swinging_strike,2453,,,
"Wainwright, Adam",SI,2020,87.5,88.3,6.8,foul,2225,,,
"Snell, Blake",FF,2020,93.6,94.6,7.1,foul,2374,,,
"Fiers, Mike",FF,2020,87.5,86.3,5.4,hit_into_play,2077,0.137,0,1
"Rogers, Trevor",FF,2020,92.3,92.9,6.8,foul,2332,,,
"Fedde, Erick",SI,2020,94.0,95,6.7,foul,1972,,,
"Cole, Gerrit",FF,2020,98.1,98.2,6.7,swinging_strike,2420,,,
"Bieber, Shane",FF,2020,94.9,95.5,6.6,foul,2324,,,
"Bubic, Kris",FF,2020,90.4,91,6.6,hit_into_play,2115,0.421,0.9,1
"Mize, Casey",FF,2020,94.1,94.4,6.8,foul,2294,,,
"Tomlin, Josh",FF,2020,86.8,85.4,5.6,hit_into_play,2219,0.45,0,1
"Lyles, Jordan",FF,2020,90.3,87.7,4.7,foul,2154,,,
"deGrom, Jacob",FF,2020,98.7,99.5,6.9,foul,2449,,,
"Young, Alex",FF,2020,90.2,89.2,5.7,hit_into_play,2297,1.46,2,1
"Wainwright, Adam",SI,2020,89.1,90,6.8,hit_into_play,2212,0.06,0,1
"Lester, Jon",FC,2020,87.4,88,6.6,foul,2268,,,
"Anderson, Chase",FC,2020,85.7,85.4,6,swinging_strike,2449,,,
"Rogers, Trevor",FF,2020,91.7,92.3,7,hit_into_play,2374,0.144,0.9,1
"Mize, Casey",FF,2020,92.4,92.9,6.7,foul_tip,2265,,,
"Nola, Aaron",SI,2020,91.7,92.2,6.8,foul,2016,,,
"Castillo, Luis",SI,2020,98.0,95.7,5.2,foul,2132,,,
"Kikuchi, Yusei",FF,2020,93.4,94,6.8,foul,2123,,,
"Lester, Jon",FC,2020,88.0,88.5,6.5,swinging_strike,2327,,,
"Young, Alex",FC,2020,84.5,84,5.8,hit_into_play,2346,0.007,0,1
"Giolito, Lucas",FF,2020,94.0,94,6.7,hit_into_play,2371,0.006,0,1
"Nola, Aaron",FF,2020,93.2,94.3,6.9,foul,1984,,,
"Lyles, Jordan",FF,2020,91.1,91.9,6.8,swinging_strike,2116,,,
"Anderson, Chase",FC,2020,86.5,85.5,5.8,swinging_strike,2429,,,
"Bubic, Kris",FF,2020,91.8,92.1,6.7,hit_into_play,2105,0.928,0.9,1
"Brault, Steven",SI,2020,90.2,91.5,6.8,hit_into_play,1775,0.093,0.9,1
"Márquez, Germán",SI,2020,94.6,93.2,5.2,hit_into_play,1928,0.358,0,1
"Woodruff, Brandon",FF,2020,96.6,96.9,6.6,foul,2415,,,
"Bubic, Kris",FF,2020,88.3,89.3,6.8,foul,1969,,,
"Tomlin, Josh",FF,2020,87.5,86.2,5.5,hit_into_play,2200,0.031,0,1
"Snell, Blake",FF,2020,93.3,94.4,7.3,foul,2381,,,
"Fiers, Mike",FF,2020,89.4,88.8,6,hit_into_play,2269,0,0,1
"Snell, Blake",FF,2020,94.6,95.5,7.1,hit_into_play,2392,0.85,0,1
"Young, Alex",FC,2020,85.0,84,5.6,hit_into_play,2363,0.858,0,1
"Kikuchi, Yusei",FC,2020,90.8,91.5,6.9,foul,2153,,,
"Tanaka, Masahiro",SI,2020,92.6,92.7,6.2,foul,2094,,,
"Bieber, Shane",FF,2020,94.3,94.6,6.6,foul,2392,,,
"Woodruff, Brandon",FF,2020,95.8,96.2,6.7,foul,2356,,,
"Dugger, Robert",FF,2020,91.5,90.7,6,hit_into_play,2383,0.006,0,1
"Young, Alex",FC,2020,85.5,84.8,5.7,swinging_strike,2360,,,
"Tanaka, Masahiro",SI,2020,91.3,90.9,6.1,foul,2090,,,
"Mize, Casey",FF,2020,91.2,91.5,6.5,swinging_strike,2146,,,
"Fedde, Erick",FF,2020,93.7,94.7,6.6,swinging_strike,1853,,,
"Anderson, Chase",FF,2020,92.0,91.3,6,hit_into_play,2127,0.872,0.9,1
"Bubic, Kris",FF,2020,89.3,90.1,6.6,foul,1946,,,
"deGrom, Jacob",FF,2020,98.7,99.2,6.7,swinging_strike,2471,,0,1
"Dugger, Robert",FF,2020,90.5,90.3,6.1,foul,2243,,,
"Márquez, Germán",SI,2020,94.2,93.2,5.4,hit_into_play,1997,0.132,0,1
"Tomlin, Josh",FC,2020,83.4,82.7,5.7,swinging_strike,2496,,,
"Brault, Steven",SI,2020,90.6,91.5,6.7,foul,1905,,,
"Bieber, Shane",FF,2020,93.9,94.9,6.8,foul,2378,,,
"Dugger, Robert",FF,2020,91.1,91.1,6.3,foul,2313,,,
"Giolito, Lucas",FF,2020,93.1,93.2,6.8,foul,2286,,,
"deGrom, Jacob",FF,2020,99.7,100.5,6.8,foul,2471,,,
"Kikuchi, Yusei",FF,2020,94.0,94.5,6.8,swinging_strike,2150,,0,1
"Lester, Jon",FC,2020,87.6,88.6,6.6,foul,2305,,,
"Young, Alex",FF,2020,88.6,87.2,5.7,foul,2307,,,
"Lyles, Jordan",FF,2020,91.0,90.9,6.2,hit_into_play,2105,0.006,0,1
