player_name,pitch_type,game_year,release_speed,effective_speed,release_extension,description,release_spin_rate,estimated_woba_using_speedangle,woba_value,woba_denom
"Snell, Blake",FF,2020,95.9,97.1,7,swinging_strike,2415,,,
"Snell, Blake",FF,2020,97.0,98.3,7.1,foul,2474,,,
"Snell, Blake",FF,2020,96.7,98.4,7.4,foul,2559,,,
"Snell, Blake",FF,2020,97.3,98.8,7.1,swinging_strike,2464,,0,1
"Snell, Blake",FF,2020,96.9,98.4,7.1,foul,2548,,,
"Snell, Blake",FF,2020,97.1,98.6,7.1,swinging_strike,2553,,,
"Gonsolin, Tony",FF,2020,94.8,94,6.1,foul,2465,,,
"Gonsolin, Tony",FF,2020,94.8,93.9,5.9,swinging_strike,2453,,,
"Snell, Blake",FF,2020,95.4,96.3,7,foul,2410,,,
"Snell, Blake",FF,2020,95.4,96.8,7.1,foul,2446,,,
"Snell, Blake",FF,2020,97.7,98.7,6.9,swinging_strike,2643,,0,1
"Gonsolin, Tony",FF,2020,95.4,94.3,5.9,foul,2602,,,
"Gonsolin, Tony",FF,2020,95.9,95.1,6,hit_into_play,2512,1.041,1.25,1
"Fairbanks, Pete",FF,2020,98.0,99.2,6.8,swinging_strike,2353,,0,1
"Gonsolin, Tony",FF,2020,95.0,94.8,6.3,foul,2505,,,
"Fairbanks, Pete",FF,2020,96.5,97.6,6.8,foul,2369,,,
"Snell, Blake",FF,2020,97.4,98.6,7,foul,2502,,,
"Gonsolin, Tony",FF,2020,94.5,93.8,6.1,foul,2418,,,
"Fairbanks, Pete",FF,2020,98.1,99.3,6.9,foul,2317,,,
"Fairbanks, Pete",FF,2020,98.6,99.9,6.8,swinging_strike,2351,,,
"Urías, Julio",FF,2020,94.9,94,5.7,swinging_strike,2397,,,
"Gonsolin, Tony",FF,2020,95.4,94.2,5.9,foul,2542,,,
"Fairbanks, Pete",FF,2020,99.5,100.5,6.8,foul,2457,,,
"Snell, Blake",FF,2020,97.4,98.6,7.2,swinging_strike,2580,,0,1
"Urías, Julio",FF,2020,94.7,93.9,5.8,foul,2478,,,
"Wood, Alex",SI,2020,93.3,93.7,6.5,swinging_strike,2209,,0,1
"Gonsolin, Tony",FF,2020,96.2,95.3,5.9,hit_into_play,2471,0.018,0,1
"Fairbanks, Pete",FF,2020,99.3,100.4,6.9,foul,2286,,,
"Fairbanks, Pete",FF,2020,98.2,99,6.7,foul,2384,,,
"Urías, Julio",FF,2020,95.2,94,5.6,hit_into_play,2450,0.041,0,1
"Wood, Alex",SI,2020,93.0,93.2,6.5,foul,2162,,,
"González, Victor",SI,2020,95.1,95.1,6.3,swinging_strike,2261,,0,1
"Wood, Alex",SI,2020,92.4,92.4,6.3,swinging_strike,2148,,0,1
"González, Victor",SI,2020,93.8,93.8,6.3,foul,2209,,,
"Fairbanks, Pete",FF,2020,99.8,100.5,6.8,foul,2435,,,
"Gonsolin, Tony",FF,2020,95.4,94.3,5.8,foul,2368,,,
"González, Victor",SI,2020,93.8,93.8,6.3,foul,2183,,,
"Urías, Julio",FF,2020,95.3,94,5.5,foul,2576,,,
"Gonsolin, Tony",FF,2020,96.0,95.1,5.9,foul,2546,,,
"González, Victor",SI,2020,94.4,94.3,6.3,swinging_strike,2268,,0,1
"Urías, Julio",FF,2020,94.6,93.2,5.6,swinging_strike,2522,,,
"Wood, Alex",SI,2020,92.3,92.5,6.4,hit_into_play,2284,0.294,0,1
"Snell, Blake",FF,2020,96.6,97.6,7.1,swinging_strike,2448,,0,1
"Urías, Julio",FF,2020,93.8,92.6,5.6,swinging_strike,2418,,,
"Anderson, Nick",FF,2020,94.3,94.4,6.3,hit_into_play,2172,0.459,0,1
"Snell, Blake",FF,2020,95.8,96.6,7,swinging_strike,2370,,,
"Fairbanks, Pete",FF,2020,99.3,100.5,6.9,foul,2397,,,
"Gonsolin, Tony",FF,2020,95.5,94.7,5.9,foul_tip,2588,,,
"González, Victor",SI,2020,94.8,94.4,6.1,foul,2262,,,
"Snell, Blake",FF,2020,96.5,97.5,7,swinging_strike,2389,,0,1
"Graterol, Brusdar",SI,2020,100.3,98.9,5.6,swinging_strike,2143,,,
"Anderson, Nick",FF,2020,94.9,94.9,6.2,foul,2204,,,
"Loup, Aaron",SI,2020,94.5,94,6.2,hit_into_play,2229,0.163,0,1
"Graterol, Brusdar",SI,2020,101.0,100,5.7,foul,2186,,,
"Gonsolin, Tony",FF,2020,96.1,95.2,5.9,foul,2556,,,
"Báez, Pedro",FF,2020,95.6,94.5,5.7,hit_into_play,2211,0,0,1
"Graterol, Brusdar",SI,2020,101.8,100.7,5.5,hit_into_play,2186,0.439,0,1
"Graterol, Brusdar",SI,2020,102.1,101.1,5.7,hit_into_play,2143,0.118,0,1
"Anderson, Nick",FF,2020,95.0,94.3,5.9,hit_into_play,2114,0.444,1.25,1
"Yarbrough, Ryan",SI,2020,87.3,87.7,6.4,hit_into_play,1914,0.378,0,1
"Wood, Alex",SI,2020,91.6,91.9,6.6,swinging_strike,2276,,,
"Loup, Aaron",SI,2020,93.6,93,6.1,foul,2088,,,
"González, Victor",FF,2020,93.7,93.4,6.2,foul,2226,,,
"Urías, Julio",FF,2020,93.1,92.1,5.7,foul,2470,,,
"Snell, Blake",FF,2020,94.7,95.6,6.9,foul,2348,,,
"Gonsolin, Tony",FF,2020,95.7,94.9,6.1,foul,2581,,,
"González, Victor",SI,2020,94.9,94,6,hit_into_play,2359,0.352,0,1
"Fairbanks, Pete",FF,2020,99.7,100.6,6.8,foul,2428,,,
"Urías, Julio",FF,2020,93.5,92.4,5.7,swinging_strike,2507,,,
"Glasnow, Tyler",FF,2020,99.0,101.1,7.4,hit_into_play,2372,1.967,2,1
"Glasnow, Tyler",FF,2020,98.3,100.5,7.4,foul,2534,,,
"Glasnow, Tyler",FF,2020,99.0,101.4,7.5,hit_into_play,2297,0.018,0,1
"Glasnow, Tyler",FF,2020,98.2,100.3,7.4,foul_tip,2539,,,
"Kershaw, Clayton",FF,2020,90.9,90.6,6.3,hit_into_play,2587,0,0,1
"Kershaw, Clayton",FF,2020,89.9,90.4,6.8,hit_into_play,2463,0.51,0,1
"Glasnow, Tyler",FF,2020,97.1,98.9,7.4,hit_into_play,2621,0,0,1
"Glasnow, Tyler",FF,2020,98.1,100.4,7.5,foul,2515,,,
"Glasnow, Tyler",FF,2020,98.7,101.2,7.6,hit_into_play,2597,0.424,0,1
"Kershaw, Clayton",FF,2020,89.8,89.6,6.5,swinging_strike,2582,,0,1
"Kershaw, Clayton",FF,2020,89.8,89.5,6.3,foul,2626,,,
"Kershaw, Clayton",FF,2020,91.3,91.4,6.5,foul,2548,,,
"Glasnow, Tyler",FF,2020,98.7,101.1,7.6,hit_into_play,2326,0.31,0,1
"Glasnow, Tyler",FF,2020,97.5,99.7,7.5,swinging_strike,2380,,,
"Kershaw, Clayton",FF,2020,92.0,92.3,6.5,hit_into_play,2517,0.06,0,1
"Glasnow, Tyler",FF,2020,98.7,101.1,7.5,swinging_strike,2616,,0,1
"Glasnow, Tyler",FF,2020,98.5,100.7,7.6,foul,2432,,,
"Glasnow, Tyler",FF,2020,96.4,98.4,7.4,foul,2385,,,
"Glasnow, Tyler",FF,2020,93.2,94.9,7.4,hit_into_play,1977,0.808,0.9,1
"Glasnow, Tyler",FF,2020,97.8,100.2,7.7,hit_into_play,2623,0.732,0,1
"Kershaw, Clayton",FF,2020,92.7,93.1,6.5,foul,2521,,,
"Kershaw, Clayton",FF,2020,91.5,92.8,7.2,hit_into_play,2502,0.839,1.6,1
"Glasnow, Tyler",FF,2020,98.5,100.6,7.3,hit_into_play,2129,1.953,2,1
"Kershaw, Clayton",FF,2020,91.7,91.7,6.3,foul,2454,,,
"Glasnow, Tyler",FF,2020,96.9,98.6,7,swinging_strike,2404,,,
"Glasnow, Tyler",FF,2020,99.8,102.3,7.6,foul,2385,,,
"Glasnow, Tyler",FF,2020,98.7,100.8,7.5,swinging_strike,2302,,,
"May, Dustin",SI,2020,98.5,99.4,6.8,hit_into_play,2487,0.01,0,1
"Glasnow, Tyler",FF,2020,98.6,100.8,7.5,swinging_strike,2511,,,
"Kershaw, Clayton",FF,2020,90.5,89.8,6.1,swinging_strike,2511,,,
"May, Dustin",SI,2020,98.4,99.1,6.6,hit_into_play,2334,0.89,0.9,1
"Kershaw, Clayton",FF,2020,90.8,90.7,6.5,foul,2487,,,
"May, Dustin",SI,2020,99.6,100,6.5,foul,2297,,,
"Glasnow, Tyler",FF,2020,97.8,100.5,7.7,swinging_strike,2395,,0,1
"May, Dustin",SI,2020,99.1,99.9,6.7,foul,2293,,,
"May, Dustin",SI,2020,100.5,100.9,6.5,swinging_strike,2371,,,
"Glasnow, Tyler",FF,2020,98.8,101.4,7.5,foul_tip,2325,,,
"Kershaw, Clayton",FF,2020,92.5,92.3,6.2,foul,2458,,,
"May, Dustin",SI,2020,100.2,100.7,6.7,hit_into_play,2350,0.394,0,1
"May, Dustin",SI,2020,99.9,100.7,6.8,foul,2314,,,
"Kershaw, Clayton",FF,2020,91.7,91.2,6.2,foul,2536,,,
"May, Dustin",FF,2020,100.7,101.4,6.7,foul,2319,,,
"May, Dustin",SI,2020,99.3,99.7,6.7,foul,2509,,,
"May, Dustin",FF,2020,101.1,101.6,6.7,foul,2354,,,
"Sherriff, Ryan",SI,2020,91.5,90.9,6.1,hit_into_play,2045,0.519,0,1
"May, Dustin",SI,2020,99.9,100.4,6.5,foul,2410,,,
"Kershaw, Clayton",FF,2020,90.3,90.2,6.5,hit_into_play,2491,0.192,0.9,1
"May, Dustin",SI,2020,100.1,100.4,6.5,swinging_strike,2444,,,
"Kershaw, Clayton",FF,2020,92.5,92.3,6.3,hit_into_play,2552,0.008,0,1
"Kershaw, Clayton",FF,2020,91.8,91.4,6.1,hit_into_play,2471,0.233,0,1
"Glasnow, Tyler",FF,2020,98.0,100.4,7.7,swinging_strike,2514,,,
"May, Dustin",SI,2020,99.9,100.2,6.4,swinging_strike,2427,,0,1
"Treinen, Blake",SI,2020,97.5,96.3,5.9,swinging_strike,2367,,0,1
"González, Victor",SI,2020,93.8,93.4,6.2,hit_into_play,2156,0.36,0,1
"Glasnow, Tyler",FF,2020,99.0,101.5,7.5,foul,2422,,,
"May, Dustin",FF,2020,100.5,101,6.7,foul,2341,,,
"Treinen, Blake",SI,2020,96.7,95.5,5.7,swinging_strike,2291,,,
"May, Dustin",SI,2020,99.2,99,6.5,swinging_strike,2423,,,
"Treinen, Blake",SI,2020,97.0,95.9,5.6,foul,2186,,,
"Treinen, Blake",FC,2020,94.3,93.6,5.8,hit_into_play,2470,0.006,0,1
"Castillo, Diego",SI,2020,98.0,96.5,5.5,hit_into_play,2134,0.047,0,1
"González, Victor",SI,2020,94.7,94.2,6.1,foul,2277,,,
"Sherriff, Ryan",SI,2020,91.6,91.3,6.2,hit_into_play,2111,0.114,0,1
"Glasnow, Tyler",FF,2020,99.1,101.2,7.5,hit_into_play,2183,0.854,1.25,1
"May, Dustin",FF,2020,101.5,101.8,6.6,foul_tip,2431,,0,1
"González, Victor",SI,2020,94.6,94.8,6.3,foul,2253,,,
"Loup, Aaron",FC,2020,87.2,86.4,6,hit_into_play,2281,0.048,0,1
"Glasnow, Tyler",FF,2020,97.5,99.5,7.4,foul,2248,,,
"Glasnow, Tyler",FF,2020,98.5,100.4,7.4,foul,2437,,,
"Treinen, Blake",FF,2020,98.4,97.1,5.7,swinging_strike,2273,,0,1
"May, Dustin",SI,2020,100.5,100.3,6.3,foul,2454,,,
"Castillo, Diego",SI,2020,97.1,95.7,5.5,hit_into_play,1938,0,0,1
"Glasnow, Tyler",FF,2020,97.8,99.6,7.4,swinging_strike,2504,,,
"Loup, Aaron",FC,2020,85.5,84.6,6,hit_into_play,2317,0.006,0,1
"Treinen, Blake",FC,2020,93.0,92,5.6,foul,2613,,,
"Loup, Aaron",SI,2020,92.9,92.5,6.4,foul,2161,,,
"Treinen, Blake",SI,2020,96.3,95.4,5.7,foul,2113,,,
"Thompson, Ryan",SI,2020,92.4,93,6.8,hit_into_play,1988,0.234,0,1
"May, Dustin",SI,2020,100.5,100.4,6.4,foul,2462,,,
"Thompson, Ryan",FF,2020,93.8,93.6,6.5,hit_into_play,2213,0.128,0,1
