player_name,pitch_type,game_year,release_speed,effective_speed,release_extension,description,release_spin_rate,estimated_woba_using_speedangle,woba_value,woba_denom
"Montas, Frankie",FF,2020,98.2,96.8,5.9,foul,2511,,,
"Montas, Frankie",FF,2020,97.0,96.5,6,foul,2495,,,
"Smyly, Drew",FC,2020,89.0,88.5,5.9,foul_tip,2262,,0,1
"Gonzales, Marco",SI,2020,88.2,88.7,6.6,hit_into_play,2323,0.479,0,1
"Castano, Daniel",FF,2020,88.6,88.2,6.2,hit_into_play,2370,0.736,0.9,1
"Montas, Frankie",FF,2020,95.8,95.4,6,foul,2462,,,
"Montas, Frankie",FF,2020,95.4,95,6,foul,2362,,,
"Montas, Frankie",SI,2020,94.8,94.5,5.8,hit_into_play,2375,0,0,1
"Castano, Daniel",FF,2020,87.5,87.6,6.3,hit_into_play,2314,0.287,0,1
"Pivetta, Nick",FF,2020,92.3,93.6,6.9,foul,2252,,,
"Montas, Frankie",SI,2020,95.4,94.9,5.8,foul,2351,,,
"Smyly, Drew",FF,2020,93.6,93.1,5.8,foul,2213,,,
"Fleming, Josh",SI,2020,92.0,92.4,6.8,swinging_strike,1958,,0,1
"Castano, Daniel",FF,2020,92.1,91.9,6.2,hit_into_play,2593,0.118,0,1
"Gonzales, Marco",FC,2020,84.2,85.2,6.5,hit_into_play,2209,0.635,0.9,1
"Nola, Aaron",FF,2020,93.5,94.6,7.3,foul,2195,,,
"Pivetta, Nick",FF,2020,92.3,93.3,6.9,foul,2301,,,
"Gonzales, Marco",SI,2020,87.0,87.7,6.6,foul,2258,,,
"Roark, Tanner",FF,2020,92.5,92.1,5.9,foul,2017,,,
"Pivetta, Nick",FF,2020,91.7,92.9,6.9,hit_into_play,2245,0.685,0.9,1
"Smyly, Drew",FF,2020,92.5,91.9,5.7,foul,2330,,,
"Gonzales, Marco",FC,2020,83.0,83.6,6.5,foul,2174,,,
"Singer, Brady",SI,2020,92.2,93.8,6.7,foul_tip,2294,,0,1
"Voth, Austin",FF,2020,93.0,93.3,6.5,swinging_strike,2268,,,
"Fleming, Josh",FC,2020,86.0,86.5,6.7,foul,1767,,,
"Smyly, Drew",FF,2020,93.0,92.5,5.8,hit_into_play,2271,0.164,0.9,1
"Hill, Rich",FC,2020,83.1,83.8,6.6,foul,2376,,,
"Pivetta, Nick",FF,2020,91.1,92.3,6.8,foul,2297,,,
"Voth, Austin",FC,2020,86.5,86.9,6.4,foul,2454,,,
"Gonzales, Marco",FC,2020,84.7,85.6,6.5,foul,2238,,,
"Gray, Sonny",SI,2020,92.0,92,6.4,foul,2420,,,
"Gray, Sonny",FF,2020,88.8,89.2,6.3,foul,2585,,,
